issue_id,supplier_id,component,defect_category,detection_date,closure_date,closure_days,status,cost_impact_usd,detection_point
8D-0247,SUP001,Cooling pump,Dimensional out of tolerance,2026-05-02,2026-05-21,19,Closed,1534,Incoming inspection
8D-0248,SUP015,Connector bracket,Surface finish defect,2026-05-03,,,Open,1025,Incoming inspection
8D-0249,SUP005,Engine fan,Functional test failure,2026-05-04,,,Open,1462,Production line
8D-0250,SUP007,Window lift actuator,Dimensional out of tolerance,2026-05-05,2026-05-30,25,Closed,1802,Customer 0-km
8D-0251,SUP014,Cooling pump,Material certification issue,2026-05-06,2026-05-28,22,Closed,3696,Incoming inspection
8D-0252,SUP007,Engine fan,Dimensional out of tolerance,2026-05-08,2026-06-11,34,Closed,2001,Incoming inspection
8D-0253,SUP008,Electric seat actuator,Dimensional out of tolerance,2026-05-09,,,Open,9690,Production line
8D-0254,SUP002,Fan shroud,Contamination,2026-05-13,,,Open,3700,Production line
8D-0255,SUP007,Fan shroud,Missing/erroneous documentation,2026-05-21,,,Open,2251,Customer 0-km
8D-0256,SUP006,Window lift actuator,Surface finish defect,2026-05-23,,,Open,663,Production line
8D-0257,SUP015,Fan shroud,Contamination,2026-05-24,,,Open,3435,Production line
8D-0258,SUP010,Control lever,Material certification issue,2026-05-25,,,Open,5259,Warranty
8D-0259,SUP006,Wiper arm,Contamination,2026-05-29,,,Open,1649,Production line
8D-0260,SUP006,Window lift actuator,Packaging & labeling error,2026-05-31,,,Open,6140,Production line
